s_country_id;s_country;s_lat;s_lon;e_country_id;e_country;e_lat;e_lon
64;Syria;34.802075;38.996815;1;Belgium;50.503887;4.469936
65;Afghanistan;33.93911;67.709953;1;Belgium;50.503887;4.469936
66;Iraq;33.223191;43.679291;1;Belgium;50.503887;4.469936
67;Somalia;5.152149;46.199616;1;Belgium;50.503887;4.469936
33;Guinea;9.945587;-9.696645;1;Belgium;50.503887;4.469936
65;Afghanistan;33.93911;67.709953;2;Bulgaria;42.733883;25.48583
66;Iraq;33.223191;43.679291;2;Bulgaria;42.733883;25.48583
64;Syria;34.802075;38.996815;2;Bulgaria;42.733883;25.48583
34;Pakistan;30.375321;69.345116;2;Bulgaria;42.733883;25.48583
35;Iran;32.427908;53.688046;2;Bulgaria;42.733883;25.48583
36;Ukraine;48.379433;31.16558;3;Czech Republic;49.817492;15.472962
66;Iraq;33.223191;43.679291;3;Czech Republic;49.817492;15.472962
37;Cuba;21.521757;-77.781167;3;Czech Republic;49.817492;15.472962
64;Syria;34.802075;38.996815;3;Czech Republic;49.817492;15.472962
38;China;35.86166;104.195397;3;Czech Republic;49.817492;15.472962
64;Syria;34.802075;38.996815;4;Denmark;56.26392;9.501785
65;Afghanistan;33.93911;67.709953;4;Denmark;56.26392;9.501785
66;Iraq;33.223191;43.679291;4;Denmark;56.26392;9.501785
39;Morocco;31.791702;-7.09262;4;Denmark;56.26392;9.501785
64;Syria;34.802075;38.996815;5;Germany;51.165691;10.451526
65;Afghanistan;33.93911;67.709953;5;Germany;51.165691;10.451526
66;Iraq;33.223191;43.679291;5;Germany;51.165691;10.451526
35;Iran;32.427908;53.688046;5;Germany;51.165691;10.451526
40;Eritrea;15.179384;39.782334;5;Germany;51.165691;10.451526
64;Syria;34.802075;38.996815;6;Estonia;58.595272;25.013607
66;Iraq;33.223191;43.679291;6;Estonia;58.595272;25.013607
41;Albania;41.153332;20.168331;6;Estonia;58.595272;25.013607
35;Iran;32.427908;53.688046;6;Estonia;58.595272;25.013607
42;Palestine;31.952162;35.233154;6;Estonia;58.595272;25.013607
34;Pakistan;30.375321;69.345116;7;Ireland;53.41291;-8.24389
64;Syria;34.802075;38.996815;7;Ireland;53.41291;-8.24389
41;Albania;41.153332;20.168331;7;Ireland;53.41291;-8.24389
43;Zimbabwe;-19.015438;29.154857;7;Ireland;53.41291;-8.24389
44;Nigeria;9.081999;8.675277;7;Ireland;53.41291;-8.24389
66;Iraq;33.223191;43.679291;8;Greece;39.074208;21.824312
64;Syria;34.802075;38.996815;8;Greece;39.074208;21.824312
65;Afghanistan;33.93911;67.709953;8;Greece;39.074208;21.824312
41;Albania;41.153332;20.168331;8;Greece;39.074208;21.824312
34;Pakistan;30.375321;69.345116;8;Greece;39.074208;21.824312
45;Venezuela;6.42375;-66.58973;9;Spain;40.463667;-3.74922
64;Syria;34.802075;38.996815;9;Spain;40.463667;-3.74922
36;Ukraine;48.379433;31.16558;9;Spain;40.463667;-3.74922
46;Algeria;28.033886;1.659626;9;Spain;40.463667;-3.74922
47;Colombia;4.570868;-74.297333;9;Spain;40.463667;-3.74922
41;Albania;41.153332;20.168331;10;France;46.227638;2.213749
65;Afghanistan;33.93911;67.709953;10;France;46.227638;2.213749
48;Sudan;12.862807;30.217636;10;France;46.227638;2.213749
49;Haiti;18.971187;-72.285215;10;France;46.227638;2.213749
64;Syria;34.802075;38.996815;10;France;46.227638;2.213749
65;Afghanistan;33.93911;67.709953;11;Croatia;45.1;15.20
64;Syria;34.802075;38.996815;11;Croatia;45.1;15.20
66;Iraq;33.223191;43.679291;11;Croatia;45.1;15.20
34;Pakistan;30.375321;69.345116;11;Croatia;45.1;15.20
35;Iran;32.427908;53.688046;11;Croatia;45.1;15.20
44;Nigeria;9.081999;8.675277;12;Italy;41.87194;12.56738
34;Pakistan;30.375321;69.345116;12;Italy;41.87194;12.56738
50;Gambia;13.443182;-15.310139;12;Italy;41.87194;12.56738
51;Senegal;14.497401;-14.452362;12;Italy;41.87194;12.56738
52;C™te d'Ivoire;7.539989;-5.54708;12;Italy;41.87194;12.56738
64;Syria;34.802075;38.996815;13;Cyprus;35.126413;33.429859
67;Somalia;5.152149;46.199616;13;Cyprus;35.126413;33.429859
34;Pakistan;30.375321;69.345116;13;Cyprus;35.126413;33.429859
53;India;20.593684;78.96288;13;Cyprus;35.126413;33.429859
54;Vietnam;14.058324;108.277199;13;Cyprus;35.126413;33.429859
64;Syria;34.802075;38.996815;14;Latvia;56.879635;24.603189
65;Afghanistan;33.93911;67.709953;14;Latvia;56.879635;24.603189
66;Iraq;33.223191;43.679291;14;Latvia;56.879635;24.603189
34;Pakistan;30.375321;69.345116;14;Latvia;56.879635;24.603189
35;Iran;32.427908;53.688046;14;Latvia;56.879635;24.603189
64;Syria;34.802075;38.996815;15;Lithuania;55.169438;23.881275
55;Russia;61.52401;105.318756;15;Lithuania;55.169438;23.881275
66;Iraq;33.223191;43.679291;15;Lithuania;55.169438;23.881275
36;Ukraine;48.379433;31.16558;15;Lithuania;55.169438;23.881275
65;Afghanistan;33.93911;67.709953;15;Lithuania;55.169438;23.881275
64;Syria;34.802075;38.996815;16;Luxembourg;49.815273;6.129583
41;Albania;41.153332;20.168331;16;Luxembourg;49.815273;6.129583
56;Kosovo;42.602636;20.902977;16;Luxembourg;49.815273;6.129583
66;Iraq;33.223191;43.679291;16;Luxembourg;49.815273;6.129583
57;Serbia;44.016521;21.005859;16;Luxembourg;49.815273;6.129583
65;Afghanistan;33.93911;67.709953;17;Hungary;47.162494;19.503304
64;Syria;34.802075;38.996815;17;Hungary;47.162494;19.503304
34;Pakistan;30.375321;69.345116;17;Hungary;47.162494;19.503304
66;Iraq;33.223191;43.679291;17;Hungary;47.162494;19.503304
35;Iran;32.427908;53.688046;17;Hungary;47.162494;19.503304
58;Libya;26.3351;17.228331;18;Malta;35.937496;14.375416
64;Syria;34.802075;38.996815;18;Malta;35.937496;14.375416
40;Eritrea;15.179384;39.782334;18;Malta;35.937496;14.375416
67;Somalia;5.152149;46.199616;18;Malta;35.937496;14.375416
36;Ukraine;48.379433;31.16558;18;Malta;35.937496;14.375416
64;Syria;34.802075;38.996815;19;Netherlands;52.132633;5.291266
40;Eritrea;15.179384;39.782334;19;Netherlands;52.132633;5.291266
41;Albania;41.153332;20.168331;19;Netherlands;52.132633;5.291266
39;Morocco;31.791702;-7.09262;19;Netherlands;52.132633;5.291266
65;Afghanistan;33.93911;67.709953;19;Netherlands;52.132633;5.291266
